"起始帧","Start Frame"
"在旧版MHX（根/臀部）和现代MHX（臀部/骨盆）之间转换动作","Convert actions between legacy MHX (root/hips) and modern MHX (hip/pelvis)"
"方向","Direction"
"启用所有层","Enable all layers"
"禁用所有层","Disable all layers"
"更新MHX","Update MHX"
"注视跟随头部","Gaze Follows Head"
"注视骨骼跟随头部骨骼旋转","The gaze bone follows the head bone rotations"
"左侧注视","Gaze Left"
"眼睛跟踪左侧注视骨骼的量","eye tracking the left gaze bone amount"
"右侧注视","Gaze Right"
"眼睛跟踪右侧注视骨骼的量","eye tracking the right gaze bone amount"
"舌头IK","Tongue IK"
"舌头骨骼由IK控制","Tongue bones controlled by IK"
"左侧手臂铰链","Arm Hinge Left"
"手臂与脊柱旋转解耦","arm decoupled from the spine rotation"
"右侧手臂铰链","Arm Hinge Right"
"左侧腿部铰链","Leg Hinge Left"
"腿部与骨盆旋转解耦","leg decoupled from the pelvis rotation"
"右侧腿部铰链","Leg Hinge Right"
"左侧前臂跟随手","Forearm Follows Hand Left"
"用左手扭转控制左前臂扭转。\n可能需要关闭此选项以正确进行FK->IK对齐。","Control left forearm twist with left hand twist.\nIt may be necessary to turn this off for correct FK->IK snapping."
"右侧前臂跟随手","Forearm Follows Hand Right"
"用右手扭转控制右前臂扭转。\n可能需要关闭此选项以正确进行FK->IK对齐。","Control right forearm twist with right hand twist.\nIt may be necessary to turn this off for correct FK->IK snapping."
"左侧长手指","Long Fingers Left"
"手指链接由长手指骨骼控制","finger links controlled by the long finger bones"
"右侧长手指","Long Fingers Right"
"左侧手指IK","Finger IK Left"
"手指链接由IK控制","finger links controlled by IK"
"右侧手指IK","Finger IK Right"
"旋转限制","Rotation Limits"
"左侧踝IK","Ankle IK Left"
"使用踝骨作为左侧腿部的IK目标","Use ankle bone as IK target for left leg"
"右侧踝IK","Ankle IK Right"
"使用踝骨作为右侧腿部的IK目标","Use ankle bone as IK target for right leg"
"左侧手臂IK","Arm IK Left"
"左侧手臂IK影响","Left arm IK influence"
"右侧手臂IK","Arm IK Right"
"右侧手臂IK影响","Right arm IK influence"
"左侧腿部IK","Leg IK Left"
"左侧腿部IK影响","Left leg IK influence"
"右侧腿部IK","Leg IK Right"
"右侧腿部IK影响","Right leg IK influence"
"手>左肘","Hand>Elbow Left"
"左肘杆父级到手","Parent left elbow pole to hand"
"肩>左肘","Shoulder>Elbow Left"
"左肘杆父级到肩","Parent left elbow pole to shoulder"
"手>右肘","Hand>Elbow Right"
"右肘杆父级到手","Parent right elbow pole to hand"
"肩>右肘","Shoulder>Elbow Right"
"右肘杆父级到肩","Parent right elbow pole to shoulder"
"脚>左膝","Foot>Knee Left"
"左膝杆父级到脚","Parent left knee pole to foot"
"臀>左膝","Hip>Knee Left"
"左膝杆父级到臀","Parent left knee pole to hip"
"脚>右膝","Foot>Knee Right"
"右膝杆父级到脚","Parent right knee pole to foot"
"臀>右膝","Hip>Knee Right"
"将右侧膝极点父级到臀","Parent right knee pole to hip"
"左侧肘父级","Left Elbow Parent"
"左侧肘极点目标的父级","Parent of left elbow pole target"
"右侧肘父级","Right Elbow Parent"
"右侧肘极点目标的父级","Parent of right elbow pole target"
"左侧膝父级","Left Knee Parent"
"左侧膝极点目标的父级","Parent of left knee pole target"
"右侧膝父级","Right Knee Parent"
"右侧膝极点目标的父级","Parent of right knee pole target"
"左侧手臂伸展","Arm Stretch Left"
"切换左侧手臂伸展性","Toggle left arm stretchiness"
"左侧腿部伸展","Leg Stretch Left"
"切换左侧腿部伸展性","Toggle left leg stretchiness"
"右侧手臂伸展","Arm Stretch Right"
"切换右侧手臂伸展性","Toggle right arm stretchiness"
"右侧腿部伸展","Leg Stretch Right"
"切换右侧腿部伸展性","Toggle right leg stretchiness"
"左侧脚趾跗骨父级","Toes Tarsal Parent Left"
"切换左侧脚趾跗骨父级","Toggle left toes tarsal parent"
"右侧脚趾跗骨父级","Toes Tarsal Parent Right"
"切换右侧脚趾跗骨父级","Toggle right toes tarsal parent"
"Rig类型","Rig Type"
"MHX错误","MHX Error"
"MHX","MHX"
"",""
