"空的","empty"
"未选择有效的属性组！","There is no valid property group selected!"
"属性组","Property Group"
"您要指向的属性组","The property group you want to point to"
"该枚举项的名称","Name of this enum item"
"该枚举项的描述","Description of this enum item"
"图标","Icon"
"该枚举项的图标值","Icon value of this enum item"
"枚举属性可以包含多个项，并带有名称和描述。","Enum properties can hold multiple items with a name and description.\n"
"添加项","Add Item"
"生成项","Generate Items"
"选择多个（枚举集）","Select Multiple (Enum Set)"
"让您从该属性中选择多个选项","Lets you select multiple options from this property"
"动态项","Dynamic Items"
"该项是用函数生成的，并不是","The items are generated with a function and aren"
"项","Items"
"枚举项","Enum Items"
"浮点属性可以保存十进制数。","Float properties can hold decimal number.\n"
"类型","Subtype"
"该属性的子类型。这会改变属性的显示方式","The subtype of this property. This changes how the property is displayed"
"单位","Unit"
"该属性的单位。这会改变属性的显示方式","The unit of this property. This changes how the property is displayed"
"最低","Minimum"
"使用最小属性值","Use a minimum property value"
"该属性的最小值","The minimum value of this property"
"最大","Maximum"
"使用最大属性值","Use a maximum property value"
"软性最低标准","Soft Minimum"
"使用软最小属性值","Use a soft minimum property value"
"该属性的最小软值","The soft minimum value of this property"
"该属性的最大值","The maximum value of this property"
"软上限","Soft Maximum"
"使用软最大属性值","Use a soft maximum property value"
"该属性的软最大值","The soft maximum value of this property"
"步骤","Step"
"用户界面的增减步长","Step of increment/decrement in the UI"
"精度","Precision"
"显示小数点的最大位数","Maximum number of decimal digits to display"
"展开","Expand"
"扩展此属性","Expand this property"
" 返回该属性所在属性集合的父属性 "," Returns the parent of the property collection this property lives in "
"组属性可以包含多个其他属性。","Group properties can hold multiple other properties.\n"
"prop_path_placeholder.","PROP_PATH_PLACEHOLDER."
"指针属性可以指向特定类型的blender数据或属性组。","Pointer properties can point to specific types of blend data or property groups.\n"
"数据类型","Data Type"
"该属性指向的blender数据类型","The type of blend data to have this property point to"
"使用属性组","Use Property Group"
"指向您创建的自定义属性组","Point to a custom property group you created"
"枚举集","Enum Set"
"DUMMY","DUMMY"
"用于解析路径的虚拟道具","Dummy prop for resolving path"
" 返回这些设置所属的属性 "," Returns the property these settings belong to "
" 为这些设置编译属性 "," Compile the property for these settings "
" 返回属性更新功能的代码 "," Returns the code for the on property update function "
" 返回更新函数的代码 "," Returns the code for the update function "
" 返回更新功能选项的代码 "," Returns the code for the update function option "
"添加节点以生成动态枚举项","Adds a node to generate dynamic enum items"
"字符串属性可以包含一行文本。","String properties can hold a line of text.\n"
"最大长度","Max Length"
"字符串的最大长度（0 表示无限制）","The maximum length of the string (0 is unlimited)"
" 注册变量并取消注册以前的版本 "," Registers the variable and unregisters previous version "
"变量名称","Variable Name"
"该变量的名称","Name of this variable"
"该变量存储的数据类型","The type of data this variable stores"
"变量的默认值","Default value for the variable"
"添加变量","Add Variable"
"为插件添加变量","Adds a variable to the addon"
"新变量","New Variable"
"移除变量","Remove Variable"
"从插件中删除该变量","Removes this variable from the addon"
"移动变量","Move Variable"
"移动该变量","Moves this variable"
"添加变量节点弹出窗口","Add Variable Node Popup"
"弹出选择变量节点的窗口","Opens a popup to let you choose a variable node"
"获取变量","Get Variable"
"设置变量","Set Variable"
"重置变量","Reset Variable"
"添加变量节点","Add Variable Node"
"查找变量","Find Variable"
"在插件中查找该变量","Finds this variable in the addon"
"此变量未找到节点","No nodes found for this variable"
"空变量节点","Empty Variable Nodes"
"未找到空变量节点","No empty variable nodes found"
"安装软件包","Install Package"
"让","Let"
"重装包","Reload Packages"
"重新读取已安装软件包列表","Reloads the installed packages list"
"卸载软件包","Uninstall Package"
"卸载此软件包","Uninstalls this package"
"安装片段","Install Snippet"
"安装单个片段或片段压缩文件","Install a single or a zip file of snippets"
"卸载片段","Uninstall Snippet"
"卸载此片段","Uninstalls this snippet"
"添加片段","Add Snippet"
"添加此片段节点","Adds this snippets node"
"绘制导出片段弹出窗口","Draw Export Snippet Popup"
"选择可编辑变量：","Select editable variables:"
"选择可编辑属性：","Select editable properties:"
"导出片段","Export Snippet"
"将此节点导出为片段","Export this node as a snippet"
"片段信息","Snippet Info"
"精彩片段","Awesome snippet!"
"您认为其他人也能使用它吗？","Do you think others could use this too?"
"为什么不与 Serpens 社区分享呢？","Why not share it with the Serpens community?"
"上传到 #marketplace 频道！","Upload it to the #marketplace channel!"
"清除系统控制台","Clear System Console"
"该操作员将清除系统控制台。","This operator clears the system console."
"设置","Settings"
"显示 Python 工具提示","Show Python Tooltips"
"教程","Tutorial"
"blender数据","Blend Data"
"控制台","Console"
"更新！","Update!"
"节点文档","Node Documentation"
"预设","Presets"
"无预设","No presets"
"移除预设","Remove Preset"
"删除该预置","Removes this preset"
"移除预设","Remove Presets"
"删除预置","Remove presets"
"添加预设","Add Preset"
"将活动节点添加为预置","Adds the active node as a preset"
"加载预置","Load Preset"
"加载该预设节点","Loads this preset node"
"获取 Serpens 属性","Get Serpens Property"
"获取 Serpens 操作员","Get Serpens Operator"
"复制上下文","Copy Context"
"复制属性","Copy Property"
"复制该属性的路径","Copy the path of this property"
"复印机操作员","Copy Operator"
"复制该操作符的路径","Copy the path of this operator"
"从该区域复制上下文","Copy the context from this area"
"片段","Snippets"
"片段","Snippet"
"其他","Others"
"插件","Addon"
"保存插件","Save Addon"
"添加到市场","Add to Marketplace"
"保存代码文件","Keep Code File"
"日志编译时间","Log Compile Time"
"轻松 BPY","Easy BPY"
"轻松安装 BPY","Easy BPY installed"
"打开安装","Open Install"
"未安装 Easy BPY","Easy BPY not installed"
"文件","Documentation"
"资产","Assets"
"添加节点","Add Node"
"显示数据概览","Show Data Overview"
"打开一个显示数据概览的窗口","Opens a window that shows a data overview"
"退出数据搜索","Exit Data Search"
"退出数据搜索模式","Exits the data search mode"
"扩展数据","Expand Data"
"加载给定项的项","Loads the items for the given item"
"扩展操作器","Expand Operators"
"扩展所有运算符","Expands all operators"
"过滤数据","Filter Data"
"过滤该项数据","Filters this items data"
"按数据类型筛选","Filter by data type"
"重置","Reset"
"重置过滤器","Reset the filters"
"搜索：","Search:"
"重置过滤器","Reset Filters"
"重置这些过滤器","Resets these filters"
"重新加载数据","Reload Data"
"重新加载列出的场景数据","Reloads the listed scene data"
"重置项的过滤器","Reset Item Filters"
"重置此项筛选器","Reset this items filters"
"重新加载项数据","Reload Item Data"
"重载此项数据","Reloads this items data"
"复制数据路径","Copy Data Path"
"复制数据路径粘贴到节点中","Copy data path to paste in a node"
"添加到搜索","Add To Search"
"将该部分添加到搜索中","Adds this section to the search"
"首选项导航","Preferences Navigation"
"退出","Exit"
"如何","How to"
"重新加载","Reload"
"发现 (BETA)","Discover (BETA)"
"资料来源","Source:"
"过滤器概述：","Filter Overview:"
"最大金额","Max Amount"
"过滤器","Filter"
"显示屏","Display"
"...因项过多而缩短","... Shortened because of too many items"
"这些过滤器没有项！","No Items for these filters!"
"Serpens","Serpens"
"Serpens 附加组件","Serpens Addon"
"尽可能使用属性函数而不是运算符！","Use property functions instead of operators when possible!"
"打开资产管理器","Open Explorer"
"打开资产管理器","Open the explorer"
"获取 Python 名称","Get Python Name"
"获取该元素的 python 名称","Get the python name for this element"
"节点树","Node Trees"
"扩展","Extensions"
"获取片段","Get Snippets"
"选择一个有效的运行函数节点以导出片段","Select a valid Run Function node to export a snippet"
"选择运行函数节点导出片段","Select Run Function node to export a snippet"
"安装片段","Install Snippets"
"未安装片段！","No snippets installed!"
"套餐","Packages"
"获取套餐","Get Packages"
"由 ","By: "
"未安装软件包！","No packages installed!"
"重新启动搅拌机，查看软件包！","Restart blender to see package!"
"属性","Properties"
"注册","Register"
"取消注册","Unregister"
"变量","Variables"
"请勿编辑这些设置！","Do not edit these settings!"
" 返回给定 idname 的快捷方式结构 "," Returns the shortcut struct for the given idname "
"节点编辑器","Node Editor"
"sn.force_compile","sn.force_compile"
"sn.open_node_docs","sn.open_node_docs"
"sn.add_copied_node","sn.add_copied_node"
"打开节点文档","Open Node Docs"
"开放节点文档","Open Node Documentation"
"添加操作员节点","Add Operator Node"
"运行操作员","Run Operator"
"按钮","Button"
"添加复制节点","Add Copied Node"
"从操作符和属性的复制路径中添加节点","Adds a node from the copied path for operators and properties"
"SN_MT_AddOperatorMenu","SN_MT_AddOperatorMenu"
"添加复制的操作员节点","Add Copied Operator Node"
"从复制的路径中为操作符添加节点","Adds a node from the copied path for operators"
"节点","Node"
"版本","Version"
"该节点的版本","Version of this node"
"禁用评估","Disable Evaluation"
"跳过出口","Skip Export"
" 返回该节点所在的节点树 "," Returns the node tree this node lives in "
" 返回此节点的 uid。请注意，这个值并不稳定，会随着时间的推移而变化！ "," Returns a uid for this node. Note that this is not stable and will change over time! "
" 返回该类型节点的集合 "," Returns the collection for the nodes of this type "
" 触发所有节点的更新。然后，每个节点都可以检查自己是否有该节点的引用，并相应地更新自己的值 "," Triggers an update on all nodes. Every node can then check if it has a reference to this node and update it's own values accordingly "
"静态 UID","Static UID"
" 返回与此节点相连的触发节点 "," Returns the trigger nodes that are connected to this node "
" 递归返回与给定节点链接的所有节点的列表 "," Recursively returns a list of all nodes linked to the given node "
" 触发与此节点相连的所有受影响程序节点的更新。当节点本身的代码发生变化时调用 "," Triggers an update on all affected, program nodes connected to this node. Called when the code of the node itself changes "
" 如果存在，则编译该节点的根节点 "," Compiles the root node of this node if it exists "
" 检查给定代码是否与当前代码不同。如果需要，它会触发代码更新 "," Checks if the given code is different from the current code. If required it triggers a code update "
"代码","Code"
"该节点的当前编译代码","The current compiled code for this node"
"代码导入","Code Import"
"该节点的当前编译代码导入了","The current compiled code for this nodes imports"
"代码要务","Code Imperative"
"代码登记册","Code Register"
"该节点注册的当前编译代码","The current compiled code for this nodes registrations"
"代码 取消注册","Code Unregister"
"该节点取消注册的当前编译代码","The current compiled code for this nodes unregistrations"
" 如果此节点是触发节点，则包括此节点中的连接节点代码 "," Includes connected nodes code in this node if this is a trigger node "
" 内部评估，以检查是否发生更改并触发编译程序 "," Internal evaluate to check if changes happened and trigger the compile process "
" 用于在需要时覆盖评估以进行导出 "," Used to overwrite evaluate for exporting if required "
"编制索引","Compile Index"
" 根据 node_color 设置节点的颜色 "," Sets the color of the node depending on the node_color "
" 在此节点树的节点集合中为此节点创建一个项 "," Creates an item in the nodes collection of this node tree for this node "
" 从节点树引用中删除该节点的引用项 "," Removes the reference item for this node from this node trees references "
" 更新节点图拓扑变化（添加或删除节点和链接） "," Update on node graph topology changes (adding or removing nodes and links) "
" 当拥有布局类型的节点被连接时，更新该节点的布局类型 "," Updates the layout type of this node when a node with layout type gets connected "
" 触发动态插座以添加新插座 "," Triggers dynamic sockets to add new ones "
" 当拥有布局类型的连接节点被移除时，更新该节点的布局类型 "," Updates the layout type of this node when a connected node with layout type gets removed "
" 在节点上逐行绘制该节点的代码 "," Draws the code for this node line by line on the node "
"更改顺序后强制编译","Force compile after changing the order"
" 为该节点添加输入。该函数本身不进行评估，因为它可能在节点准备就绪之前就已被使用 "," Adds an input for this node. This function itself doesn't evaluate as it may be used before the node is ready "
" 为该节点添加输出。该函数本身不进行评估，因为它可能会在节点就绪前被使用 "," Adds an output for this node. This function itself doesn't evaluate as it may be used before the node is ready "
" 将套接字从当前类型转换为给定的 id 名称 "," Converts the socket from it's current type to the given idname "
" 根据给定属性创建输入 "," Creates an input from the given property "
"节点名称","Node Name"
"字符串","String"
"该节点的字符串值","String value of this node"
" 取消注册此插件 "," Unregisters this addon "
" 重新注册当前插件代码并存储结果 "," Reregisters the current addon code and stores results "
" 返回整个插件代码（用于开发），格式为单个 python 文件 "," Returns the entire addon code (for development) formatted for a single python file "
" 返回所有节点树中所有触发节点的列表 "," Returns a list of all trigger nodes in all node trees "
" 返回该插件的 bl_info 信息 "," Returns the bl_info for this addon "
" 以多个文件的字典形式返回整个插件的代码 "," Returns the code for the entire addon as a dictionary of multiple files "
"开始教程","Start Tutorial"
"将教程节点添加到节点树中","Adds the tutorial node to your node tree"
"结束教程","End Tutorial"
"结束教程","Ends the tutorial"
"移动教程","Move Tutorial"
"更改教程步骤","Changes the tutorial step"
"设置教程","Set Tutorial"
"显示设置","Show Settings"
"显示设置","Show the settings"
"sRGB","sRGB"
"继续前进","Keep Going!"
"冒险","ADVENTURE!!!"
"上一页","Previous"
"下一页","Next"
"图像大小","Image Size"
"尺寸","Size"
"X","X"  
"Y","Y"
"查看文件","See Docs"
"章节","Chapters"
"清晰打印","Clear Prints"
"清除此打印节点信息","Clear this print nodes messages"
"打印","Print"
"在节点上打印","Print On Node"
"在此节点上显示打印结果","Show print results on this node"
"在删除上一条打印信息之前，将添加到此节点的打印信息数量（0 表示无限制）","Amount of print messages that will be added to this node before a previous one is removed (0 is unlimited)"
"限制","Limit"
"没有东西打印呢~","Nothing printed!"
"留言","Messages:"
"睡眠","Sleep"
"时间戳","Timestamp"
"开始时间戳记录或打印开始后的总时间","Start the timestamp recording or print the total time since the start"
"将此时间戳与其他时间戳联系起来的标识符","The identifier that links this timestamp to other timestamps"
"颜色","Color"
"该节点的颜色","The color of this node"
"触发节点","Trigger Node"
"触发此节点","Trigger this node"
"触发器","Trigger"
"运行触发器","Run Trigger"
"渲染完成时","On Render Finish"
"行动时间","Time of Action"
"要运行事件处理程序时","When you want your event handler to run"
"运行事件","Run Event"
"布局","Layouts"
"子布局","Sublayouts"
"关闭搅拌机","On Blender Close"
"atexit.register(before_exit_handler_{self.static_uid})","atexit.register(before_exit_handler_{self.static_uid})"
"atexit.unregister(before_exit_handler_{self.static_uid})","atexit.unregister(before_exit_handler_{self.static_uid})"
"渲染开始时","On Render Start"
"依赖图更新时","On Depsgraph Update"
"在不触发事件的情况下运行事件代码","Run the event code without triggering event"
"框架更改时","On Frame Change"
"记录按键","Record Key"
"记录下一个按下的键","Records the next pressed key"
"选择","Select"
"在界面中选择该元素时","Select this element in the interface"
"在界面中选择一个元素时","Select an element in the interface"
"在按键时","On Keypress"
"按键","Key"
"记录","Recording"
"Ctrl","Ctrl"
"如果必须按下 ctrl 键","If the ctrl key has to be pressed"
"Alt","Alt"
"如果必须按下 Alt 键","If the alt key has to be pressed"
"Shift","Shift"
"如果必须按下 shift 键","If the shift key has to be pressed"
"价值","Value"
"按键的方式","The way the key has to be pressed"
"方向","Direction"
"拖动鼠标以执行操作的方向","Direction to drag the mouse in to run the action"
"重复按键","Repeat Key"
"按住键时重复该操作","Repeat the action when the key is held down"
"空间","Space"
"该操作应能运行的空间","The space which this action should be able to run in"
"快捷方式类型","Shortcut Type"
"从该快捷方式运行的操作类型","The type of action to run from this shortcut"
"父级类型","Parent Type"
"将自定义面板用作父面板","Use a custom panel as a parent"
"面板","Panel"
"按键时要打开的面板","The panel to open when the key is pressed"
"菜单","Menu"
"按键时要打开的菜单","The menu to open when the key is pressed"
"饼菜单","Pie Menu"
"按键时要打开的饼状菜单","The pie menu to open when the key is pressed"
" 为操作员创建输入 "," Create inputs for operator "
"操作员","Operator"
"按键时要运行的操作符","The operator to run when the key is pressed"
"保持开放","Keep Open"
"更改属性后保持面板打开","Keep the panel open after a property is changed"
"面板节点树","Panel Node Tree"
"从节点树中选择面板","The node tree to select the panel from"
"使用此快捷方式打开的面板","The panel to open with this shortcut"
"使用此快捷键打开的菜单","The menu to open with this shortcut"
" 选择新的父面板时更新节点设置 "," Updates the nodes settings when a new parent panel is selected "
"使用此快捷方式运行的操作符","The operator to run with this shortcut"
"{self.panel}","{self.panel}"
"{node.last_idname}","{node.last_idname}"
"{self.menu}","{self.menu}"
"{node.idname}","{node.idname}"
"{self.pie}","{self.pie}"
"{space_names[self.space]}","{space_names[self.space]}"
"负载","On Load"
"保存","On Save"
"重做时","On Redo"
"在撤消","On Undo"
"插件信息","Addon Info"
"资产","Asset"
"资产中获取路径","Asset to get the path from"
"获取编辑选择模式","Get Edit Select Mode"
"图标来源","Icon Source"
"图标的来源","The source of the icons"
"该插座的值","Value of this socket"
"图像文件","Image File"
"要用作图标的图像","The image you want to use as an icon"
"选择图标","Choose Icon"
"图像未保存！","Image not saved!"
"是否出口","Is Export"
"模式","In Mode"
"模式","Mode"
"查看坐标","View Coordinates"
"区域（使用活动）","Area (Using Active)"
"活动模式与之比较的模式","The mode which the active mode is compared to"
"节点是 Idname","Node Is Idname"
"要为其获取类型的节点","The node to get the type for"
"是对象类型","Is Object Type"
"对象与之比较的类型","The type which the object is compared to"
"已命名图标","Named Icon"
"无","NONE"
"节点 Idname","Node Idname"
"随机颜色","Random Color"
"随机数","Random Number"
"编号类型","Type of number"
"场景背景","Scene Context"
"时间和日期","Time and Date"
"二维视图缩放","2D View Zoom"
"按类型划分的区域","Area By Type"
"区域类型","Area Type"
"要寻找的区域类型","The type of area to find"
"区域分布","Area Locations"
"材料","Materials"
"元球","Metaballs"
"曲线","Curves"
"行动","Actions"
"骨架","Armatures"
"图片","Images"
"灯光","Lights"
"节点组","Node Groups"
"文本","Texts"
"纹理","Textures"
"工作空间","Workspaces"
"世界","Worlds"
"刷子","Brushes"
"照相机","Cameras"
"字体","Fonts"
"油脂铅笔","Grease Pencils"
"网格","Lattices"
"场景","Scenes"
"屏幕","Screens"
"形状键","Shape Keys"
"体积","Volumes"
"窗口管理器","Window Managers"
"blender数据","Blender Data"
"索引","Index"
"索引类型","Index Type"
"使用的索引类型","The type of index to use"
"收藏品","Collections"
"网格","Meshes"
"对象","Objects"
"布尔矢量","Boolean Vector"
"布尔型","Boolean"
"使用阿尔法","Use Alpha"
"浮点矢量","Float Vector"
"浮动","Float"
"整数向量","Integer Vector"
"整数","Integer"
"列表","List"
"无","None"
"BMesh 对象数据","BMesh Object Data"
"BMesh 边缘数据","BMesh Edge Data"
"BMesh 人脸数据","BMesh Face Data"
"BMesh 顶点数据","BMesh Vertex Data"
"创建线路","Create Line"
"使用 3D","Use 3D"
"使用 3D 还是 2D 坐标","Whether to use 3D or 2D coordinates"
"创建四边形","Create Quad"
"创建三角形","Create Triangle"
"BMesh 面到顶点位置","BMesh Faces To Vertex Locations"
"对象为 BMesh","Object To BMesh"
"糯稻三角区位置","Ngon To Triangle Locations"
"三角测量 BMesh","Triangulate BMesh"
" 移除所有操作员输入 "," Remove all operator inputs "
"从中选择操作符的节点树","The node tree to select the operator from"
"来源类型","Source Type"
"使用自定义运算符或内部blender器","Use a custom operator or a blender internal"
"自定义操作员","Custom Operator"
"操作员按了这个按钮","The operator ran by this button"
"隐藏禁用输入","Hide Disabled Inputs"
"隐藏该节点已禁用的输入端","Hides the disabled inputs of this node"
"粘贴操作员","Paste Operator"
"虚拟按钮","Dummy Button"
"此按钮没有关联操作员","This button has no operator associated"
"将复制的操作符粘贴到该按钮","Paste a copied operator into this button"
"显示收藏列表","Display Collection List"
"功能","Function"
"过滤器函数，该函数应包含一个单一属性输入，并返回一个布尔值（True 表示保留该项，False 表示删除该项）。","Filter function which should have a single property input and return a boolean (True keeps the item, False removes it)"
"功能节点树","Function Node Tree"
"从节点树中选择函数","The node tree to select the function from"
"过滤器","Filter:"
"无属性连接！","No Property connected!"
"显示枚举项","Display Enum Item"
"未指定枚举项！","No Enum Item specified!"
"显示图标","Display Icon"
"请谨慎使用该节点！这可能会降低用户界面的运行速度","Use this node with care! This might slow down your UI"
"显示预览","Display Preview"
"小心！这个元素很容易崩溃！","Careful! This element is prone to crashes!"
"只能显示材质、纹理、灯光、世界和线条样式","Only materials, textures, lights, worlds and line styles can be displayed"
"显示搜索","Display Search"
"显示 Serpens 快捷方式","Display Serpens Shortcut"
"快捷方式","Shortcut"
"显示的快捷方式","The shortcut to display"
"在显示属性中复制blender数据浏览器中的搅拌器快捷方式","Copy blender shortcuts from the blend data browser in display property"
"枚举映射（接口）","Enum Map (Interface)"
"图标画廊","Icon Gallery"
"标签","Label"
"选择 ","Select "
"选择菜单位置","Select Menu Location"
"在界面中选择该菜单的位置","Select the location of this menu in the Interface"
"选择地点","Pick Location"
"选择此位置将菜单放入","Pick this location to put the menu into"
"测试","test"
"选择 {space.replace(","Select {space.replace("
"选择面板位置","Select Panel Location"
"在界面中选择该面板的位置","Select the location of this panel in the Interface"
"选择这个位置将面板放入","Pick this location to put the panel into"
"在子面板节点上选择此自定义面板","Select this custom panel on the subpanel node"
"选择 {标签｝","Select {label}"
"选择子面板位置","Select Subpanel Location"
"在界面中选择该子面板的位置","Select the location of this subpanel in the Interface"
"选择这个位置安装子面板","Pick this location to put the subpanel into"
"打开首选项","Open Preferences"
"进度指标","Progress Indicator"
"分离器","Separator"
"添加到菜单","Add To Menu"
"职位","Position"
"该界面在所选菜单中的位置","Position of this interface to the selected menu"
"父级","Parent"
"该界面的菜单 id 应显示在","The menu id this interface should be shown in"
"添加到面板","Add To Panel"
"该界面在所选面板上的位置","Position of this interface to the selected panel"
"该子面板的面板 ID 应显示在","The panel id this subpanel should be shown in"
"功能运行（接口）","Function Run (Interface)"
"要运行的函数","The function to run"
"功能（接口）","Function (Interface)"
"名称覆盖","Idname Override"
"如果您想自己定义面板的 id 名称，请使用此选项","Use this if you want to define the idname of this panel yourself"
"该菜单顶部显示的标签","The label shown at the top of this menu"
"{self.title}","{self.title}"
"INVOKE_DEFAULT","INVOKE_DEFAULT"
" 从父节点更新该子面板节点的值 "," Update this subpanels nodes values from the parent node "
" 更新父面板时调用，更新该节点的设置 "," Called when a parent panel is updated, updates this nodes settings "
" 变成子面板时更新编译顺序 "," Updates the compile order when turned into a subpanel "
"面板标签","The label of your panel"
"面板所在的空间","The space your panel is in"
"区域","Region"
"面板所在区域","The region your panel is in"
"背景","Context"
"面板所处的上下文环境","The context your panel is in"
"面板所属类别（仅适用于 N 面板）","The category your panel is in (Only relevant if in an N-Panel)"
"顺序","Order"
"特殊的","Special"
"与其他自定义面板相比，您的面板的顺序","The order of your panel compared to other custom panels"
"隐藏页眉","Hide Header"
"隐藏面板标题","Hide the panels header"
"展开页眉","Expand Header"
"扩展页眉以填充整个面板宽度","Expands the header to fill the full panel width"
"默认关闭","Default Closed"
"默认关闭面板","Closes the panel by default"
"仅快捷方式","Shortcut Only"
"只有在使用快捷方式打开而不是在界面中打开时，才会显示该面板","Only displays this panel when opened with a shortcut and not in the interface"
"是否子面板","Is Subpanel"
"如果该面板应为子面板","If this panel should be a subpanel"
"自定义父级","Custom Parent"
"作为该子面板的自定义父面板使用的面板","The panel used as a custom parent panel for this subpanel"
"面板宽度","Panel Width"
"弹出窗口和弹出窗口的面板宽度","The panel width for popovers and popups"
"姓氏","Last Idname"
"此面板编译时的最后一个 ID 名称","The last idname that this panel had when it was compiled"
"{self.panel_label}","{self.panel_label}"
"{self.context}","{self.context}"
"首选项","Preferences"
"多个首选项节点！只使用一个","Multiple preferences nodes! Only one will be used"
"添加到菜单（传统）","Add To Menu (Legacy)"
"未使用","Unused"
"添加到面板（传统）","Add To Panel (Legacy)"
"按钮（传统）","Button (Legacy)"
"复制菜单（传统）","Copy Menu (Legacy)"
"应显示的菜单","The menu that should be displayed"
"复制面板（传统）","Copy Panel (Legacy)"
"显示收藏列表（传统）","Display Collection List (Legacy)"
"显示图标（传统）","Display Icon (Legacy)"
"显示预览（传统）","Display Preview (Legacy)"
"显示属性（遗留）","Display Property (Legacy)"
"显示搜索（传统）","Display Search (Legacy)"
