"登录处理","登録処理"
"["{}"]","["{}"]"
"位置Y","location_Y"
"限制","Limit"
"姿势骨骼["{}"].约束["限制位置"].max_y","pose.bones["{}"].constraints["Limit Location"].max_y"
"姿势骨骼["{}"]["开关"]","pose.bones["{}"]["Switch"]"
"基础骨骼前缀","Base Bone Prefix"
"切线结束骨骼前缀","Tangent End Bone Prefix"
"切线开始骨骼前缀","Tangent Start Bone Prefix"
"基础骨骼层","Base Bone Layer"
"增加弯曲骨骼大小","Add BendyBone Size"
"基础骨骼组","Base Bone Group"
"基础骨骼自定义形状","Base Bone Custom Shape"
"增加自定义形状大小","Add Custom Shape Size"
"增加扭曲、BBsub和偏移骨骼","Add Twist & BBsub & Offset Bones"
"扭曲和BBsub骨骼层","Twist & BBsub Bone Layer"
"偏移骨骼层","Offset Bone Layer"
"扭曲和BBsub骨骼组","Twist & BBsub Bone Group"
"扭曲、偏移和BBsub生成","Twist Offset BBsub生成"
"扭曲_","Twist_"
"BBsub_","BBsub_"
"层次结构设置","階層構造設定"
"弯曲装备复制位置","BendyRig_CopyLocation"
"弯曲装备跟踪到尾部","BendyRig_TrackTo_Tail"
"弯曲装备拉伸到尾部","BendyRig_StretchTo_Tail"
"弯曲装备限制尾部缩放","BendyRig_LimitScale_Tail"
"弯曲装备限制头部缩放","BendyRig_LimitScale_Head"
"弯曲装备复制切线开始缩放","BendyRig_CopyScale_TangentStart"
"弯曲装备复制骨骼位置","BendyRig_CopyLocation_Bone"
"弯曲装备复制切线结束缩放","BendyRig_CopyScale_TangentEnd"
"弯曲装备复制尾部旋转","BendyRig_CopyRotation_Tail"
"弯曲装备复制BBsub位置","BendyRig_CopyLocation_BBsub"
"弯曲装备复制头部旋转","BendyRig_CopyRotation_Head"
"弯曲装备阻尼跟踪BBsub","BendyRig_DampedTrack_BBsub"
"弯曲装备复制BBone位置","BendyRig_CopyLocation_BBone"
"弯曲装备复制扭曲变换","BendyRig_CopyTransforms_Twist"
"姿势骨骼["{}"].位置[0]","pose.bones["{}"].location[0]"
"姿势骨骼["{}"].位置[2]","pose.bones["{}"].location[2]"
"位置Y","LocY"
"姿势骨骼["{}"].位置[1]","pose.bones["{}"].location[1]"
"长度","Len"
"姿势骨骼["{}"]["弯曲装备长度"]","pose.bones["{}"]["BendyRig_length"]"
"姿势骨骼["{}"]["弯曲装备功率"]","pose.bones["{}"]["BendyRig_power"]"
"弯曲装备复制连接位置","BendyRig_CopyLocation_Connect"
"弯曲装备复制连接缩放","BendyRig_CopyScale_Connect"
"弯曲装备复制连接旋转","BendyRig_CopyRotation_Connect"
"扭曲头部骨骼前缀","Twist Head Bone Prefix"
"弯曲装备复制骨骼旋转","BendyRig_CopyRotation_Bone"
"弯曲装备复制子位置","BendyRig_CopyLocation_Sub"
"弯曲装备复制扭曲旋转","BendyRig_CopyRotation_Twist"
"BBone胸部装备生成操作符","BBoneChestRig生成オペレーター"
"创建BBone胸部装备","Create BBone Chest Rig"
"装备名称","Armature Name"
"胸部骨骼名称","Chest Bone Name"
"脊椎骨骼名称","Spine Bone Name"
"腰部骨骼名称","Waist Bone Name"
"髋部骨骼名称","Hip Bone Name"
"完成","Finished"
"从面板执行","Excute From Panel"
"BBone分段","BBone Segmants"
"腰部骨骼前缀","Waist Bone Prefix"
"髋部骨骼前缀","Hip Bone Prefix"
"胸部骨骼前缀","Chest Bone Prefix"
"切线髋部骨骼前缀","Tangent Hip Bone Prefix"
"切线胸部骨骼前缀","Tangent Chest Bone Prefix"
"胸部装备控制器组","ChestRig Controller Group"
"扭曲和BBsub组","Twist & BBsub Group"
"偏移组","Offset Group"
"胸部装备控制器层","ChestRig Controller Layer"
"扭曲和BBsub层","Twist & BBsub Layer"
"增加胸部装备弯曲骨骼大小","Add ChestRig BendyBone Size"
"增加胸部装备自定义形状大小","Add ChestRig Custom Shape Size"
"胸部装备自定义形状线框","ChestRig Custom Shape WireFrame"
"生成必要的骨骼","必要なボーン生成"
"扭曲头部_","TwistHead_"
"创建层次结构","階層構造作成"
"髋部限制缩放","Hip Limit Scale"
"拉伸到胸部","Stretch To Chest"
"跟踪到胸部","Track To Chest"
"胸部限制缩放","Chest Limit Scale"
"复制胸部缩放","Copy Scale Chest"
"复制髋部缩放","Copy Scale HIP"
"复制自动挤压拉伸缩放","Copy Scale Auto SquashStrech"
"复制胸部旋转","Copy Rotation Chest"
"复制髋部旋转","Copy Rotation Hip"
"复制髋部位置","Copy Location Hip"
"阻尼跟踪BBsub","Damped Track BBsub"
"限制缩放","Limit Scale"
"复制扭曲旋转","Copy Rotation Twist"
"复制脊椎位置","Copy Location Spine"
"复制扭曲变换","Copy Transforms Twist"
"添加ID属性","IDプロパティー追加"
"姿势骨骼["{}"]["QuickBBone骨骼长度"]","pose.bones["{}"]["QuickBBone_BoneLength"]"
"姿势骨骼["{}"]["QuickBBone缓入缓出功率"]","pose.bones["{}"]["QuickBBone_EaseINOut_Pow"]"
"SY","SY"
"TY","TY"
"SZ","SZ"
"恢复","Restore"
"添加新","Add New"
"重复","Repeat"
"命令","Cmd"
"QuickBBone工具","QuickBBone Tools"
"创建分段骨骼","Segment Bones Create"
"创建简单弯曲装备","Simple Bendy Rig Create"
"创建弯曲装备","Bendy Rig Create"
"创建胸部装备","Chest Rig Create"
"从指定骨骼创建胸部装备","Chest Rig From Specify Bones"
"装备","Armature"
"腰部","Waist"
"脊椎","Spine"
"胸部","Chest"
"创建胸部装备（指定骨骼）","Create Chest Rig(Specify Bones)"
"主选项卡","Main Tab"
"图标选项","Icon Options"
"分段骨骼选项","Segment Bones Options"
"简单弯曲装备选项","Simple Bendy Rig Options"
"弯曲装备选项","Bendy Rig Options"
"胸部装备选项","Chest Rig Options"
"图标路径","Icon Path"
"重启Blender后将启用","It will be enabled after restarting blender"
"目标装备","Target Armature"
"胸部骨骼","Chest Bone"
"脊椎骨骼","Spine Bone"
"腰部骨骼","Waist Bone"
"初始化","Initialize"
"",""
