"%s弯曲","%sBend"
"影响对象","Affect Object"
"变形","Morphs"
"材质","Materials"
"对象","Objects"
"DAZ内容目录","DAZ Content Directories"
"DAZ Studio内容的搜索路径","Search paths for DAZ Studio content"
"DAZ MDL目录","DAZ MDL Directories"
"DAZ Studio MDL的搜索路径","Search paths for DAZ Studio MDL"
"DAZ云目录","DAZ Cloud Directories"
"DAZ Studio云内容的搜索路径","Search paths for DAZ Studio cloud content"
"错误路径","Error Path"
"错误报告文件的路径","Path to error report file"
"扫描路径","Scan Path"
"扫描数据库的路径","Path to scanned database"
"单位比例","Unit Scale"
"用于在DAZ和Blender单位之间转换的比例。默认单位米","Scale used to convert between DAZ and Blender units. Default unit meters"
"详细程度","Verbosity"
"加载文件时控制警告消息的数量","Controls the number of warning messages when loading files"
"调整强度","Adjust Strength"
"自定义最小值","Custom Min"
"滑块的自定义最小值","Custom minimum for sliders"
"自定义最大值","Custom Max"
"滑块的自定义最大值","Custom maximum for sliders"
"乘数","Multiplier"
"变形乘数。用此因子乘以滑块的最小和\n最大值","Morph multiplier. Multiply the min and \nmax values for sliders with this factor"
"最终限制","Final Limits"
"DAZ属性的最终最小和最大值，\n当所有滑块都考虑在内时","Final min and max values for DAZ properties,\nwhen all sliders are taken into account"
"滑块限制","Slider Limits"
"滑块的最小和最大值","Min and max values for sliders"
"显示最终变形值","Show Final Morph Values"
"显示\","Display the \"
"在终端中显示","Show In Terminal"
"加载和传输变形时显示完整变形名称","Display full morph names when loading and transferring morphs"
"形状键","Shapekeys"
"为变形加载形状键","Load shapekeys for morphs"
"ERC变形","ERC Morphs"
"加载支持ERC变形，这些变形改变静止姿势","Load support for ERC morphs that change the rest pose"
"剥离类别","Strip Category"
"从变形名称中剥离类别","Strip category from morph names"
"加载到修改的网格","Load To Modified Meshes"
"将变形加载到通过合并地形或睫毛修改的网格。\n警告：如果网格在编辑模式下被修改，可能会给出不正确的形状键","Load morphs to meshes that have been modified by merging geografts or lashes.\nWarning: can give incorrect shapekeys if meshes have been modified in edit mode"
"创建隐藏滑块","Make Hidden Sliders"
"为隐藏变形创建属性，\n以便它们可以在UI中显示","Create properties for hidden morphs,\nso they can be displayed in the UI"
"显示隐藏对象","Show Hidden Objects"
"Don","Don"
"忽略隐藏对象","Ignore Hidden Objects"
"ID","ID"
"URL","URL"
"场景","Scene"
"装备类型","Rig Type"
"网格类型","Mesh Type"
"未翻转","Unflipped"
"旋转锁定","Rotation Locks"
"位置锁定","Location Locks"
"DAZ库的路径","Paths To DAZ Library"
"内容目录","Content Directories"
"MDL目录","MDL Directories"
"云目录","Cloud Directories"
"材质方法","Material Method"
"SSS","SSS"
"次表面散射的方法","Method for subsurface scattering"
"视口","Viewport"
"在视口中显示对象的方法","Method to display object in viewport"
"世界","World"
"何时创建世界材质","When to create a world material"
"重用材质","Reuse Materials"
"如果存在此类材质，则使用现有材质。\n可能导致不正确的材质","Use existing materials if such exists.\nMay lead to incorrect materials"
"低分辨率文件夹","Lower Resolution Folders"
"将低分辨率纹理存储在单独的文件夹中。\n纹理名称也会被修改","Store lower resolution textures in separate folders.\nTexture names are also modified"
"按索引材质","Materials By Index"
"使用索引而不是名称来识别材质。\n需要正确导入MikuMikuDance文件","Use index rather than name to identify materials.\nNeeded to import MikuMikuDance files correctly"
"连接接近","Connect Close"
"如果头部接近父级，则将骨骼连接到其父级","Connect bones to their parent if the head is close to the parent"
"使用位置锁定","Use location locks"
"位置限制","Location Limits"
"启用位置限制","Enable location limits"
"使用旋转锁定","Use rotation locks"
"旋转限制","Rotation Limits"
"启用旋转限制","Enable rotation limits"
"骨骼继承缩放","Bones Inherit Scale"
"骨骼从其父级继承缩放（Blender默认）。\n禁用以模仿DAZ Studio中的行为","Bones inherit scale from their parents (Blender default).\nDisable to mimic behaviour in DAZ Studio"
"显示旋转限制","Display Rotation Limits"
"将旋转限制显示为IK限制","Display rotation limits as IK limits"
"转储调试信息","Dump Debug Info"
"在加载文件后在文件\ndaz_importer_errors.text中转储调试信息","Dump debug info in the file\ndaz_importer_errors.text after loading file"
"Z向上","Z Up"
"从DAZ转换","Convert from DAZ"
"未翻转骨骼","Unflipped Bones"
"骨架","Armature"
"为导入的图形创建骨架","Create armatures for imported figures"
"四元数","Quaternions"
"为球窝关节（肩部和臀部）使用四元数","Use quaternions for ball-and-socket joints (shoulders and hips)"
"区分大小写的路径","Case-Sensitive Paths"
"将URL转换为小写。在Windows上效果最佳。","Convert URLs to lowercase. Works best on Windows."
"使用实例化","Use Instancing"
"为DAZ实例使用实例化","Use instancing for DAZ instances"
"头发引导","Hair Guides"
"导入头发引导以及头发束","Import hair guides as well as hair strands"
"构建HD网格","Build HD Meshes"
"如果包含在.dbz文件中，则构建HD网格","Build HD meshes if included in .dbz file"
"保持基础网格","Keep Base Meshes"
"如果构建HD网格，则保持基础分辨率网格","Keep base resolution meshes if HD mesh is built"
"将骨架添加到HD网格","Add Armature To HD Meshes"
"将骨架修改器和顶点组添加到真正的HD网格","Add armature modifier and vertex groups to true HD meshes"
"添加多分辨率","Add Multires"
"将多分辨率修改器添加到HD网格并重建较低的细分级别","Add multires modifier to HD meshes and rebuild lower subdivision levels"
"多个UV层","Multiple UV Layers"
"为具有多分辨率修改器的HD网格使用多个UV层","Use multiple UV layers for HD meshes with multires modifiers"
"自动平滑","Auto Smooth"
"最大细分级别","Max Subdivision Level"
"最大细分级别。\n过高的值可能导致Blender崩溃","The maximum subdivision level.\nToo high a value can cause Blender to crash"
"面部映射","Face Maps"
"在导入时生成面部映射","Generate face maps on import"
"缩放眼睛湿润度","Scale Eye Moisture"
"缩放眼睛湿润顶点以避免渲染眼睛时出现暗环","Scale eye moisture vertices to avoid dark rings when rendering eyes"
"模拟","Simulation"
"为模拟添加影响（钉扎）顶点组","Add influence (pinning) vertex groups for simulation"
"壳方法","Shell Method"
"几何壳的方法","Method for geometry shells"
"修剪节点树","Prune Node Tree"
"修剪材质节点树。\n仅用于调试时禁用","Prune material node-tree.\nDisable for debugging only"
"凹凸因子","Bump Factor"
"凹凸强度的乘数","Multiplier for bump strength"
"使用假焦散","Use fake caustics"
"使用置换贴图","Use displacement maps"
"使用发射","Use emission"
"幽灵灯光","Ghost Lights"
"模仿iray幽灵灯光bug，已在DS 4.20中修复。\n不要用于模仿DS 4.20","Mimics the iray ghost light bug, that is fixed in DS 4.20.\nDo not use to mimic DS 4.20"
"反射","Reflection"
"使用反射贴图","Use reflection maps"
"SSS皮肤（BSDF）","SSS Skin (BSDF)"
"SSS修复","SSS Fix"
"使用Midnight Arrow建议的SSS替代处理","Use alternative handling of SSS suggested by Midnight Arrow"
"插值","Interpolation"
"图像插值","Image interpolation"
"首选根目录","Preferred Root Directory"
"某些导入工具使用的主目录","Preferred root directory used by some import tools"
"dForce影响","dForce Influence"
"dForce钉","dForce Pin"
"碰撞距离","Collision Distance"
"最小碰撞距离（毫米）","Minimun collision distance (mm)"
"制作碰撞","Make Collision"
"为选定网格添加碰撞修改器","Add collision modifiers to selected meshes"
"预设","Preset"
"模拟预设","Simulation preset"
"钉组","Pin Group"
"使用此组作为钉组","Use this group as pin group"
"模拟质量","Simulation Quality"
"碰撞质量","Collision Quality"
"GSM因子","GSM Factor"
"GSM因子（顶点质量乘数）","GSM Factor (vertex mass multiplier)"
"制作布料","Make Cloth"
"为选定网格添加布料修改器","Add cloth modifiers to selected meshes"
"制作模拟","Make Simulation"
"从Daz数据创建模拟","Create simulation from Daz data"
"胸部","Chest"
"为胸部添加软体模拟","Add softbody simulation for chest"
"腹部","Belly"
"为腹部添加软体模拟","Add softbody simulation for belly"
"臀部","Glutes"
"为臀部添加软体模拟","Add softbody simulation for glutes"
"手臂碰撞","Arm Collision"
"为手臂添加碰撞","Add collision to arms"
"腿部碰撞","Leg Collision"
"为腿部添加碰撞","Add collision to legs"
"添加软体","Add Softbody"
"为选定网格添加软体模拟","Add softbody simulation to selected meshes"
"平滑","Smooth"
"为网格添加校正平滑修改器","Add a corrective smooth modifier to the meshes"
"组合软体","Combined Softbody"
"仅使用组合软体","Only use a combined softbody"
"移除现有对象","Remove Existing Objects"
"移除现有碰撞和软体对象","Remove existing collision and softbody objects"
"软体对象","Softbody Objects"
"碰撞对象","Collision Objects"
"软体","SOFTBODY"
"a","a"
"更新全部","Update All"
"更新所有内容。如果驱动骨骼混乱，请尝试此操作","Update everything. Try this if driven bones are messed up"
"复制属性","Copy Props"
"将选定对象的属性复制到活动对象","Copy properties from selected objects to active object"
"复制骨骼驱动","Copy Bone Drivers"
"将选定装备的骨骼驱动复制到活动装备","Copy bone drivers from selected rig to active rig"
"禁用驱动","Disable Drivers"
"禁用所有驱动以提高性能","Disable all drivers to improve performance"
"启用驱动","Enable Drivers"
"启用所有驱动","Enable all drivers"
"Daz导入器","Daz Importer"
"头部位置","Head Location"
"包括头部位置动画","Include head location animation"
"头部旋转","Head Rotation"
"包括头部旋转动画","Include head rotation animation"
"头部","Head"
"影响头部的头部旋转比例","Fraction of head rotation that affects head"
"上颈部","Upper Neck"
"影响上颈部的头部旋转比例","Fraction of head rotation that affects upper neck"
"下颈部","Lower Neck"
"影响下颈部的头部旋转比例","Fraction of head rotation that affects lower neck"
"腹部","Abdomen"
"影响腹部的头部旋转比例","Fraction of head rotation that affects abdomen"
"眼睛","Eyes"
"包括眼睛动画","Include eyes animation"
"舌头","Tongue"
"包括舌头动画","Include tongue animation"
"导入FaceCap文件","Import FaceCap File"
"导入带有FaceCap数据的文本文件","Import a text file with facecap data"
"FaceCap文件中的动画FPS","Animation FPS in FaceCap file"
"导入Live Link文件","Import Live Link File"
"导入带有Unreal数据的csv文件","Import a csv file with Unreal"
"传输眼睛到注视","Transfer Eye To Gaze"
"将眼睛骨骼动画传输到注视骨骼","Transfer eye bone animation to gaze bones"
"传输注视到眼睛","Transfer Gaze To Eye"
"将注视骨骼动画传输到眼睛骨骼","Transfer gaze bone animation to eye bones"
"%s网格","%s Mesh"
"打印骨骼矩阵","Print Bone Matrix"
"旋转骨骼","Rotate Bones"
"将选定骨骼旋转相同角度","Rotate selected bones the same angle"
"X","X"
"Y","Y"
"Z","Z"
"复制位置%s","Copy Location %s"
"复制旋转%s","Copy Rotation %s"
"复制缩放%s","Copy Scale %s"
"添加额外面部骨骼","Add Extra Face Bones"
"添加额外一层面部骨骼，可以被驱动和摆姿势","Add an extra layer of face bones, which can be both driven and posed"
"添加额外一层驱动骨骼，使它们可摆姿势","Add an extra layer of driven bones, to make them posable"
"修复旧版可摆姿势骨骼","Fix Legacy Posable Bones"
"将旧版可摆姿势骨骼转换为现代骨骼","Convert legacy posable bones to modern ones"
"完成骨架","Finalize Armature"
"移除未使用的骨骼约束","Remove unused bone constraints"
"%s%s","%s%s"
"添加简单IK","Add Simple IK"
"手臂IK","Arm IK"
"为手臂添加IK","Add IK to arms"
"腿部IK","Leg IK"
"为腿部添加IK","Add IK to legs"
"极目标","Pole Targets"
"为IK链添加极目标。\n姿势将无法正确加载。","Add pole targets to the IK chains.\nPoses will not be loaded correctly."
"连接IK链","Connect IK Chains"
"将IK链中的所有骨骼连接到其父级","Connect all bones in IK chains to their parents"
"链类型","Chain Types"
"连接指定类型的链","Connect the specified types of chains"
"解锁最后一根骨骼","Unlock Last Bone"
"移除每条链中最后一根骨骼的位置锁定，用作自动IK目标","Remove location locks of the last bone in each chain for use as Auto IK target"
"位置","Location"
"连接父级和子级骨骼的位置","Where to connect parent and child bones"
"全部","All"
"选择所有命名层并取消选择所有未命名层","Select all named layers and unselect all unnamed layers"
"仅活动","Only Active"
"取消选择所有命名和未命名层，除了活动层","Unselect all named and unnamed layers except active"
"添加自定义形状","Add Custom Shapes"
"为活动装备的骨骼添加自定义形状","Add custom shapes to the bones of the active rig"
"移除自定义形状","Remove Custom Shapes"
"从活动装备的骨骼移除自定义形状","Remove custom shapes from the bones of the active rig"
"捕捉FK","Snap FK"
"将FK骨骼捕捉到IK骨骼","Snap FK bones to IK bones"
"捕捉IK","Snap IK"
"将IK骨骼捕捉到FK骨骼","Snap IK bones to FK bones"
"锁定骨骼","Lock Bones"
"为选定骨骼锁定位置、旋转、缩放","Lock location, rotation, scale for selected bones"
"锁定位置","Lock location"
"旋转","Rotation"
"锁定旋转","Lock rotation"
"缩放","Scale"
"锁定缩放","Lock scale"
"仅零通道","Only Zero Channels"
"复制DAZ属性","Copy DAZ Properties"
"分类对象","Categorize Objects"
"将未父级的对象及其子对象移动到单独的类别","Move unparented objects and their children to separate categories"
"变形骨架","Morph Armature"
"为ERC变形更新骨架","Update the armature for ERC morphs"
"检查世界矩阵","Inspect World Matrix"
"列出活动对象的世界矩阵","List world matrix of active object"
"启用所有层","Enable All Layers"
"启用所有骨骼层","Enable all bone layers"
"左臂IK","Left Arm IK"
"右臂IK","Right Arm IK"
"左腿IK","Left Leg IK"
"右腿IK","Right Leg IK"
"继承缩放","Inherit Scale"
"骨骼继承缩放","Bones inherit scale"
"自动变形骨架","Auto Morph Armatures"
"在帧更改时自动变形骨架","Automatically morph armatures on frame change"
"文件路径","File Path"
"用于导出.json文件的文件路径","Filepath used for exporting the .json file"
"用于导入文件的文件路径","Filepath used for importing the file"
"预设文件中的作者信息","Author info in preset file"
"电子邮件","Email"
"预设文件中的电子邮件信息","Email info in preset file"
"网站","Website"
"预设文件中的网站信息","Website info in preset file"
"压缩文件","Compress File"
"压缩输出文件","Gzip the output file"
"获取指纹","Get Fingerprint"
"获取活动角色的指纹","Get fingerprint of active character"
"手指IK","Finger IK"
"为手指生成IK控制","Generate IK controls for fingers"
"舌头IK","Tongue IK"
"为舌头生成IK控制","Generate IK controls for tongue"
"保持DAZ装备","Keep DAZ Rig"
"在新集合中保持现有骨架和网格","Keep existing armature and meshes in a new collection"
"%s.%s","%s.%s"
"将前缀改为后缀","Change Prefix To Suffix"
"将l/r前缀改为.L/.R后缀，\n以使用Blender对称工具","Change l/r prefix to .L/.R suffix,\nto use Blender symmetry tools"
"%s.fk.%s","%s.fk.%s"
"%s_fk.%s","%s_fk.%s"
"%s.bend.%s","%s.bend.%s"
"%s.twist.%s","%s.twist.%s"
"添加IK目标","Add IK goals"
"为IK链添加极目标","Add pole targets to the IK chains"
"隐藏骨骼","Hide Bones"
"隐藏IK链中的所有骨骼","Hide all bones in the IK chains"
"锁定IK链中的所有骨骼","Lock all bones in the IK chains"
"禁用骨骼","Disable Bones"
"禁用IK链中的所有骨骼","Disable all bones in the IK chains"
"从根骨骼","From Root Bones"
"从根骨骼选择IK链","Select IK chains from root bones"
"IK%s","IK %s"
"添加绕线器","Add Winders"
"为选定姿势骨骼添加绕线器","Add winders to selected posebones"
"绕线器层","Winder Layer"
"绕线器骨骼的骨骼层","Bone layer for the winder bones"
"绕线层","Winded Layer"
"绕线骨骼的骨骼层","Bone layer for the winded bones"
"锁定位置","Lock Location"
"即使原始骨骼未锁定，也锁定绕线器位置","Lock winder location even if original bone is not locked"
"风","Wind"
"更改骨架","Change Armature"
"使活动骨架成为选定网格的骨架","Make the active armature the armature of selected meshes"
"重新定位驱动","Retarget Drivers"
"将形状键驱动重新定位到新骨架。\n警告：如果新骨架缺少驱动，将导致错误","Retarget shapekey drivers to the new armature.\nWarning: Will cause errors if the new armature lack drivers"
"UV层","UV Layer"
"%s_HD","%s_HD"
"制作多分辨率","Make Multires"
"将HD网格转换为具有多分辨率修改器的网格，\n并添加顶点组和额外UV层","Convert HD mesh into mesh with multires modifier,\nand add vertex groups and extra UV layers"
"修剪UV映射","Prune UV Maps"
"移除未使用的UV映射","Remove unused UV maps"
"折叠UDIMs","Collapse UDIMs"
"将UV坐标限制在[0:1]范围内","Restrict UV coordinates to the [0:1] range"
"恢复UDIMs","Restore UDIMs"
"恢复原始UV坐标超出[0:1]范围","Restore original UV coordinates outside the [0:1] range"
"基于纹理的UDIMs","UDIMs From Textures"
"基于纹理名称恢复UV坐标","Restore UV coordinates based on texture names"
"加载UV集","Load UV Set"
"将UV集加载到活动网格","Load a UV set to the active mesh"
"保存UV集","Save UV Set"
"将活动UV集保存为duf文件","Save the active UV set as a duf file"
"限制顶点组","Limit Vertex Groups"
"限制每个顶点的顶点组数量","Limit the number of vertex groups per vertex"
"限制","Limit"
"每个顶点的最大顶点组数量","Max number of vertex group per vertex"
"完成网格","Finalize Meshes"
"从网格移除内部属性。\n禁用某些工具但可能提高性能","Remove internal properties from meshes.\nDisables some tools but may improve performance"
"存储数据","Store Data"
"将数据存储在文件中","Store data in a file"
"覆盖","Overwrite"
"覆盖存储的数据","Overwrite stored data"
"原始指纹","Original Fingerprint"
"混合文件","Blend File"
"定义对象的混合文件","Blend file where the object is defined"
"添加壳","Add Shell"
"将活动壳添加到选定网格","Add active shell to selected mesh"
"UV集","UV Set"
"为此壳材质使用此UV集","Use this UV set for shell materials"
"偏移距离（厘米）","Offset Distance (cm)"
"壳偏移（厘米）","Shell offset (cm)"
"作为材质","As Material"
"将壳添加为材质节点组，\n而非几何节点修改器","Add the shell as a material node group,\nnot as a geometry nodes modifier"
"颜色","Color"
"基础颜色","Base Color"
"更改颜色","Change Colors"
"更改此对象所有材质的视口颜色","Change viewport colors of all materials of this object"
"更改皮肤颜色","Change Skin Colors"
"材质类型","Material Type"
"头发颜色","Hair Color"
"发丝类型","Strand Type"
"网格头发发丝类型","Mesh hair strand type"
"发丝方向","Strand Orientation"
"发丝在UV空间中的方向","How the strands are oriented in UV space"
"保持网格头发","Keep Mesh Hair"
"在制作粒子头发后保持（重建）网格头发","Keep (reconstruct) mesh hair after making particle hair"
"制作多段线头发","Make Polyline Hair"
"将结果输出为多段线网格","Output the result to a polyline mesh"
"单多段线","Single Polyline"
"制作单个多段线网格，而非每个长度单独的网格","Make a single polyline mesh rather than separate ones for each length"
"移除粒子头发","Remove Particle Hair"
"从此网格移除现有粒子系统","Remove existing particle systems from this mesh"
"分离松散部分","Separate Loose Parts"
"稀疏度","Sparsity"
"仅使用每第n个头发","Only use every n:th hair"
"头发长度","Hair Length"
"头发长度","Hair length"
"调整头发大小","Resize Hair"
"之后调整头发大小","Resize hair afterwards"
"按块调整大小","Resize In Blocks"
"之后按十个一组调整头发大小","Resize hair in blocks of ten afterwards"
"视口子对象","Viewport Children"
"视口中显示的头发子对象数量","Number of hair children displayed in viewport"
"渲染子对象","Render Children"
"渲染中显示的头发子对象数量","Number of hair children displayed in renders"
"视口步数","Viewport Steps"
"路径绘制的步数（2的幂）","How many steps paths are drawn with (power of 2)"
"渲染步数","Render Steps"
"路径渲染的步数（2的幂）","How many steps paths are rendered with (power of 2)"
"发丝形状","Strand Shape"
"发丝形状","Strand shape"
"根半径（毫米）","Root radius (mm)"
"发丝在根部的直径","Strand diameter at the root"
"尖端半径（毫米）","Tip radius (mm)"
"发丝在尖端的直径","Strand diameter at the tip"
"子对象半径（毫米）","Child radius (mm)"
"子对象围绕父对象的半径","Radius of children around parent"
"多材质","Multi Materials"
"为每个材质创建单独的粒子系统","Create separate particle systems for each material"
"保持材质","Keep Material"
"使用现有材质","Use existing material"
"材质","Material"
"用作头发材质的材质","Material to use as hair material"
"头发材质方法","Hair Material Method"
"头发材质节点树的类型","Type of hair material node tree"
"头发%s","Hair %s"
"网格头发","Mesh Hair"
"制作头发","Make Hair"
"从网格头发制作粒子头发","Make particle hair from mesh hair"
"创建","Create"
"设置","Settings"
"H","H"
"头骨","Skull"
"更新头发","Update Hair"
"更改粒子头发的设置","Change settings for particle hair"
"影响材质","Affect Material"
"也更改材质","Also change materials"
"组合头发","Combine Hairs"
"将多个头发粒子系统组合为一个","Combine several hair particle systems into a single one"
"(%3d) %s","(%3d)   %s"
"上色头发","Color Hair"
"更改粒子头发颜色","Change particle hair color"
"连接头发","Connect Hair"
"（重新）连接头发","(Re)connect hair"
"添加固定组","Add Pinning Group"
"将HairPin组添加到网格头发","Add HairPin group to mesh hair"
"头发固定","HairPinning"
"使用驱动","Use Drivers"
"用骨架属性驱动贴图","Drive maps with armature properties"
"瓦片","Tile"
"仅加载此瓦片中的纹理","Only load textures in this tile"
"修剪节点树","Prune the node tree"
"将贴图添加到材质中：","Add Maps To Materials:"
"置换节点的缩放值","Scale value for displacement node"
"中间值","Midlevel"
"置换节点的中间值","Midlevel value for displacement node"
"加载标量置换贴图","Load Scalar Disp Maps"
"将标量置换贴图加载到活动材质","Load scalar displacement map to active material"
"加载向量置换贴图","Load Vector Disp Maps"
"将向量置换贴图加载到活动材质","Load vector displacement map to active material"
"加载法线贴图","Load Normal Maps"
"将法线贴图加载到活动材质","Load normal maps to active material"
"烘焙类型","Bake Type"
"图像尺寸","Image Size"
"子文件夹","Subfolder"
"法线/置换贴图的子文件夹","Subfolder for normal/displace maps"
