"应用缩放至选定对象","Apply scale to selected object(s)"
"生成头发曲线","Curve Tip.003"
"头发曲线噪音","Generate Hair Curves _ woolly"
"头发曲线噪音","Generate Hair Curves.001"
"重新分配曲线点","Hair Curves Noise"
"恢复曲线段长度","Hair Curves Noise.001"
"还原曲线段长度","Redistribute Curve Points.001"
"旋转头发曲线","Restore Curve Segment Length"
"设定头发曲线","Restore Curve Segment Length.001"
"设置头发曲线配置文件。001","Rotate Hair Curves"
"shape_range","Set Hair Curve Profile"
"shape_range.001","Set Hair Curve Profile.001"
"修剪头发曲线","shape_range"
"毛毡修饰剂","shape_range.001"
"羊毛尺寸计算器","Trim Hair Curves.001"
